new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,performance
1,2,1,1,1,1,1,1,1,0,117.588
2,2,1,1,1,1,1,1,1,0,62.468
3,2,1,1,1,1,1,1,1,0,43.236
4,3,1,1,1,1,1,1,1,0,42.72
1,3,1,1,1,1,1,1,1,0,157.16
2,3,1,1,1,1,1,1,1,0,84.112
3,3,1,1,1,1,1,1,1,0,58.796
4,1,2,1,1,1,1,1,1,0,23.062
1,1,2,1,1,1,1,1,1,0,86.896
2,1,2,1,1,1,1,1,1,0,46.038
3,1,2,1,1,1,1,1,1,0,30.992
4,2,2,1,1,1,1,1,1,0,31.662
1,2,2,1,1,1,1,1,1,0,117.354
2,2,2,1,1,1,1,1,1,0,62.598
3,2,2,1,1,1,1,1,1,0,43.26
4,3,2,1,1,1,1,1,1,0,42.7
1,3,2,1,1,1,1,1,1,0,157.242
2,3,2,1,1,1,1,1,1,0,84.156
3,3,2,1,1,1,1,1,1,0,58.854
4,1,3,1,1,1,1,1,1,0,23.302
1,1,3,1,1,1,1,1,1,0,86.718
2,1,3,1,1,1,1,1,1,0,45.858
3,1,3,1,1,1,1,1,1,0,31.044
4,2,3,1,1,1,1,1,1,0,31.744
1,2,3,1,1,1,1,1,1,0,117.374
2,2,3,1,1,1,1,1,1,0,62.43
3,2,3,1,1,1,1,1,1,0,43.158
4,3,3,1,1,1,1,1,1,0,42.526
1,3,3,1,1,1,1,1,1,0,157.34
2,3,3,1,1,1,1,1,1,0,83.976
3,3,3,1,1,1,1,1,1,0,58.642
4,1,1,1,1,1,1,1,0,1,23.24
1,1,1,1,1,1,1,1,0,1,87.264
2,1,1,1,1,1,1,1,0,1,46.154
3,1,1,1,1,1,1,1,0,1,31.16
4,2,1,1,1,1,1,1,0,1,36.032
1,2,1,1,1,1,1,1,0,1,133.236
2,2,1,1,1,1,1,1,0,1,70.876
3,2,1,1,1,1,1,1,0,1,50.178
4,3,1,1,1,1,1,1,0,1,50.35
1,3,1,1,1,1,1,1,0,1,184.806
2,3,1,1,1,1,1,1,0,1,99.084
3,3,1,1,1,1,1,1,0,1,71.092
4,1,2,1,1,1,1,1,0,1,23.408
1,1,2,1,1,1,1,1,0,1,87.328
2,1,2,1,1,1,1,1,0,1,46.448
3,1,2,1,1,1,1,1,0,1,31.094
4,2,2,1,1,1,1,1,0,1,36.216
1,2,2,1,1,1,1,1,0,1,133.016
2,2,2,1,1,1,1,1,0,1,70.848
3,2,2,1,1,1,1,1,0,1,50.042
4,3,2,1,1,1,1,1,0,1,50.322
1,3,2,1,1,1,1,1,0,1,184.54
2,3,2,1,1,1,1,1,0,1,98.686
3,3,2,1,1,1,1,1,0,1,71.328
4,1,3,1,1,1,1,1,0,1,23.374
1,1,3,1,1,1,1,1,0,1,87.288
2,1,3,1,1,1,1,1,0,1,46.38
3,1,3,1,1,1,1,1,0,1,31.216
4,2,3,1,1,1,1,1,0,1,36.164
1,2,3,1,1,1,1,1,0,1,132.954
2,2,3,1,1,1,1,1,0,1,70.884
3,2,3,1,1,1,1,1,0,1,50.268
4,3,3,1,1,1,1,1,0,1,50.434
1,3,3,1,1,1,1,1,0,1,184.508
2,3,3,1,1,1,1,1,0,1,98.794
3,3,3,1,1,1,1,1,0,1,71.098
4,1,1,1,1,1,1,1,0,0,23.178
1,1,1,1,1,1,1,1,0,0,86.752
2,1,1,1,1,1,1,1,0,0,45.96
3,1,1,1,1,1,1,1,0,0,31.208
4,2,1,1,1,1,1,1,0,0,35.556
1,2,1,1,1,1,1,1,0,0,132.104
2,2,1,1,1,1,1,1,0,0,70.38
3,2,1,1,1,1,1,1,0,0,50.19
4,3,1,1,1,1,1,1,0,0,50.016
1,3,1,1,1,1,1,1,0,0,183.728
2,3,1,1,1,1,1,1,0,0,98.636
3,3,1,1,1,1,1,1,0,0,71.014
4,1,2,1,1,1,1,1,0,0,23.148
1,1,2,1,1,1,1,1,0,0,86.776
2,1,2,1,1,1,1,1,0,0,45.93
3,1,2,1,1,1,1,1,0,0,31.0
4,2,2,1,1,1,1,1,0,0,35.664
1,2,2,1,1,1,1,1,0,0,132.146
2,2,2,1,1,1,1,1,0,0,70.476
3,2,2,1,1,1,1,1,0,0,50.458
4,3,2,1,1,1,1,1,0,0,50.19
1,3,2,1,1,1,1,1,0,0,183.844
2,3,2,1,1,1,1,1,0,0,98.556
3,3,2,1,1,1,1,1,0,0,71.134
4,1,3,1,1,1,1,1,0,0,23.178
1,1,3,1,1,1,1,1,0,0,86.802
2,1,3,1,1,1,1,1,0,0,45.894
3,1,3,1,1,1,1,1,0,0,31.154
4,2,3,1,1,1,1,1,0,0,35.924
1,2,3,1,1,1,1,1,0,0,132.308
2,2,3,1,1,1,1,1,0,0,70.59
3,2,3,1,1,1,1,1,0,0,50.296
4,3,3,1,1,1,1,1,0,0,50.272
1,3,3,1,1,1,1,1,0,0,183.864
2,3,3,1,1,1,1,1,0,0,98.726
3,3,3,1,1,1,1,1,0,0,71.242
4,1,1,1,1,1,1,0,1,1,21.906
1,1,1,1,1,1,1,0,1,1,79.25
2,1,1,1,1,1,1,0,1,1,42.334
3,1,1,1,1,1,1,0,1,1,28.938
4,2,1,1,1,1,1,0,1,1,30.204
1,2,1,1,1,1,1,0,1,1,110.394
2,2,1,1,1,1,1,0,1,1,58.852
3,2,1,1,1,1,1,0,1,1,41.07
4,3,1,1,1,1,1,0,1,1,40.79
1,3,1,1,1,1,1,0,1,1,149.592
2,3,1,1,1,1,1,0,1,1,79.904
3,3,1,1,1,1,1,0,1,1,56.06
4,1,2,1,1,1,1,0,1,1,22.664
1,1,2,1,1,1,1,0,1,1,80.102
2,1,2,1,1,1,1,0,1,1,42.904
3,1,2,1,1,1,1,0,1,1,29.632
4,2,2,1,1,1,1,0,1,1,30.64
1,2,2,1,1,1,1,0,1,1,110.968
2,2,2,1,1,1,1,0,1,1,59.44
3,2,2,1,1,1,1,0,1,1,41.368
4,3,2,1,1,1,1,0,1,1,41.228
1,3,2,1,1,1,1,0,1,1,150.036
2,3,2,1,1,1,1,0,1,1,80.554
3,3,2,1,1,1,1,0,1,1,56.438
4,1,3,1,1,1,1,0,1,1,23.268
1,1,3,1,1,1,1,0,1,1,80.502
2,1,3,1,1,1,1,0,1,1,43.192
3,1,3,1,1,1,1,0,1,1,30.266
4,2,3,1,1,1,1,0,1,1,31.366
1,2,3,1,1,1,1,0,1,1,111.308
2,2,3,1,1,1,1,0,1,1,59.786
3,2,3,1,1,1,1,0,1,1,41.736
4,3,3,1,1,1,1,0,1,1,41.786
1,3,3,1,1,1,1,0,1,1,150.78
2,3,3,1,1,1,1,0,1,1,80.82
3,3,3,1,1,1,1,0,1,1,56.862
4,1,1,1,1,1,1,0,1,0,22.168
1,1,1,1,1,1,1,0,1,0,79.33
2,1,1,1,1,1,1,0,1,0,42.308
3,1,1,1,1,1,1,0,1,0,29.078
4,2,1,1,1,1,1,0,1,0,30.136
1,2,1,1,1,1,1,0,1,0,110.004
2,2,1,1,1,1,1,0,1,0,58.786
3,2,1,1,1,1,1,0,1,0,41.164
4,3,1,1,1,1,1,0,1,0,40.842
1,3,1,1,1,1,1,0,1,0,149.054
2,3,1,1,1,1,1,0,1,0,79.818
3,3,1,1,1,1,1,0,1,0,56.19
4,1,2,1,1,1,1,0,1,0,23.092
1,1,2,1,1,1,1,0,1,0,80.156
2,1,2,1,1,1,1,0,1,0,42.69
3,1,2,1,1,1,1,0,1,0,29.806
4,2,2,1,1,1,1,0,1,0,30.834
1,2,2,1,1,1,1,0,1,0,111.042
2,2,2,1,1,1,1,0,1,0,59.27
3,2,2,1,1,1,1,0,1,0,41.478
4,3,2,1,1,1,1,0,1,0,41.46
1,3,2,1,1,1,1,0,1,0,149.878
2,3,2,1,1,1,1,0,1,0,80.35
3,3,2,1,1,1,1,0,1,0,56.482
4,1,3,1,1,1,1,0,1,0,23.282
1,1,3,1,1,1,1,0,1,0,80.474
2,1,3,1,1,1,1,0,1,0,43.338
3,1,3,1,1,1,1,0,1,0,30.302
4,2,3,1,1,1,1,0,1,0,31.458
1,2,3,1,1,1,1,0,1,0,111.342
2,2,3,1,1,1,1,0,1,0,59.802
3,2,3,1,1,1,1,0,1,0,42.104
4,3,3,1,1,1,1,0,1,0,41.978
1,3,3,1,1,1,1,0,1,0,150.172
2,3,3,1,1,1,1,0,1,0,80.966
3,3,3,1,1,1,1,0,1,0,56.994
4,1,1,1,1,1,1,0,0,1,21.714
1,1,1,1,1,1,1,0,0,1,79.3
2,1,1,1,1,1,1,0,0,1,42.238
3,1,1,1,1,1,1,0,0,1,28.922
4,2,1,1,1,1,1,0,0,1,33.498
1,2,1,1,1,1,1,0,0,1,122.666
2,2,1,1,1,1,1,0,0,1,65.43
3,2,1,1,1,1,1,0,0,1,46.406
4,3,1,1,1,1,1,0,0,1,46.682
1,3,1,1,1,1,1,0,0,1,170.97
2,3,1,1,1,1,1,0,0,1,91.398
3,3,1,1,1,1,1,0,0,1,66.204
4,1,2,1,1,1,1,0,0,1,22.816
1,1,2,1,1,1,1,0,0,1,80.34
2,1,2,1,1,1,1,0,0,1,42.83
3,1,2,1,1,1,1,0,0,1,29.398
4,2,2,1,1,1,1,0,0,1,34.188
1,2,2,1,1,1,1,0,0,1,123.274
2,2,2,1,1,1,1,0,0,1,65.806
3,2,2,1,1,1,1,0,0,1,46.988
4,3,2,1,1,1,1,0,0,1,47.31
1,3,2,1,1,1,1,0,0,1,171.428
2,3,2,1,1,1,1,0,0,1,92.04
3,3,2,1,1,1,1,0,0,1,66.68
4,1,3,1,1,1,1,0,0,1,23.334
1,1,3,1,1,1,1,0,0,1,80.566
2,1,3,1,1,1,1,0,0,1,43.296
3,1,3,1,1,1,1,0,0,1,29.97
4,2,3,1,1,1,1,0,0,1,34.796
1,2,3,1,1,1,1,0,0,1,123.538
2,2,3,1,1,1,1,0,0,1,66.262
3,2,3,1,1,1,1,0,0,1,47.424
4,3,3,1,1,1,1,0,0,1,47.72
1,3,3,1,1,1,1,0,0,1,172.042
2,3,3,1,1,1,1,0,0,1,92.494
3,3,3,1,1,1,1,0,0,1,66.908
4,1,1,1,1,1,1,0,0,0,21.942
1,1,1,1,1,1,1,0,0,0,79.414
2,1,1,1,1,1,1,0,0,0,42.258
3,1,1,1,1,1,1,0,0,0,29.174
4,2,1,1,1,1,1,0,0,0,33.59
1,2,1,1,1,1,1,0,0,0,122.262
2,2,1,1,1,1,1,0,0,0,65.406
3,2,1,1,1,1,1,0,0,0,46.656
4,3,1,1,1,1,1,0,0,0,46.726
1,3,1,1,1,1,1,0,0,0,170.516
2,3,1,1,1,1,1,0,0,0,91.506
3,3,1,1,1,1,1,0,0,0,65.988
4,1,2,1,1,1,1,0,0,0,22.59
1,1,2,1,1,1,1,0,0,0,80.118
2,1,2,1,1,1,1,0,0,0,42.712
3,1,2,1,1,1,1,0,0,0,29.674
4,2,2,1,1,1,1,0,0,0,34.208
1,2,2,1,1,1,1,0,0,0,122.942
2,2,2,1,1,1,1,0,0,0,65.834
3,2,2,1,1,1,1,0,0,0,47.138
4,3,2,1,1,1,1,0,0,0,47.44
1,3,2,1,1,1,1,0,0,0,171.186
2,3,2,1,1,1,1,0,0,0,92.288
3,3,2,1,1,1,1,0,0,0,66.46
4,1,3,1,1,1,1,0,0,0,23.282
1,1,3,1,1,1,1,0,0,0,80.582
2,1,3,1,1,1,1,0,0,0,43.45
3,1,3,1,1,1,1,0,0,0,30.392
4,2,3,1,1,1,1,0,0,0,34.832
1,2,3,1,1,1,1,0,0,0,123.422
2,2,3,1,1,1,1,0,0,0,66.384
3,2,3,1,1,1,1,0,0,0,47.534
4,3,3,1,1,1,1,0,0,0,48.082
1,3,3,1,1,1,1,0,0,0,171.936
2,3,3,1,1,1,1,0,0,0,92.482
3,3,3,1,1,1,1,0,0,0,66.928
4,1,1,1,1,1,0,1,1,1,23.278
1,1,1,1,1,1,0,1,1,1,86.438
2,1,1,1,1,1,0,1,1,1,46.026
3,1,1,1,1,1,0,1,1,1,31.218
4,2,1,1,1,1,0,1,1,1,30.114
1,2,1,1,1,1,0,1,1,1,111.978
2,2,1,1,1,1,0,1,1,1,58.836
3,2,1,1,1,1,0,1,1,1,40.032
4,3,1,1,1,1,0,1,1,1,39.166
1,3,1,1,1,1,0,1,1,1,146.138
2,3,1,1,1,1,0,1,1,1,76.774
3,3,1,1,1,1,0,1,1,1,52.294
4,1,2,1,1,1,0,1,1,1,25.124
1,1,2,1,1,1,0,1,1,1,86.728
2,1,2,1,1,1,0,1,1,1,46.01
3,1,2,1,1,1,0,1,1,1,31.026
4,2,2,1,1,1,0,1,1,1,30.12
1,2,2,1,1,1,0,1,1,1,111.83
2,2,2,1,1,1,0,1,1,1,59.142
3,2,2,1,1,1,0,1,1,1,40.066
4,3,2,1,1,1,0,1,1,1,39.126
1,3,2,1,1,1,0,1,1,1,146.228
2,3,2,1,1,1,0,1,1,1,76.862
3,3,2,1,1,1,0,1,1,1,52.074
4,1,3,1,1,1,0,1,1,1,23.326
1,1,3,1,1,1,0,1,1,1,86.716
2,1,3,1,1,1,0,1,1,1,45.874
3,1,3,1,1,1,0,1,1,1,30.892
4,2,3,1,1,1,0,1,1,1,29.872
1,2,3,1,1,1,0,1,1,1,111.742
2,2,3,1,1,1,0,1,1,1,59.074
3,2,3,1,1,1,0,1,1,1,40.266
4,3,3,1,1,1,0,1,1,1,39.202
1,3,3,1,1,1,0,1,1,1,146.222
2,3,3,1,1,1,0,1,1,1,76.83
3,3,3,1,1,1,0,1,1,1,52.128
4,1,1,1,1,1,0,1,1,0,23.212
1,1,1,1,1,1,0,1,1,0,86.252
2,1,1,1,1,1,0,1,1,0,45.674
3,1,1,1,1,1,0,1,1,0,30.814
4,2,1,1,1,1,0,1,1,0,30.748
1,2,1,1,1,1,0,1,1,0,111.684
2,2,1,1,1,1,0,1,1,0,58.808
3,2,1,1,1,1,0,1,1,0,40.134
4,3,1,1,1,1,0,1,1,0,38.922
1,3,1,1,1,1,0,1,1,0,146.064
2,3,1,1,1,1,0,1,1,0,76.47
3,3,1,1,1,1,0,1,1,0,52.14
4,1,2,1,1,1,0,1,1,0,23.456
1,1,2,1,1,1,0,1,1,0,86.114
2,1,2,1,1,1,0,1,1,0,45.772
3,1,2,1,1,1,0,1,1,0,30.698
4,2,2,1,1,1,0,1,1,0,29.826
1,2,2,1,1,1,0,1,1,0,111.596
2,2,2,1,1,1,0,1,1,0,58.706
3,2,2,1,1,1,0,1,1,0,40.376
4,3,2,1,1,1,0,1,1,0,39.142
1,3,2,1,1,1,0,1,1,0,146.116
2,3,2,1,1,1,0,1,1,0,76.688
3,3,2,1,1,1,0,1,1,0,52.074
4,1,3,1,1,1,0,1,1,0,22.92
1,1,3,1,1,1,0,1,1,0,86.228
2,1,3,1,1,1,0,1,1,0,45.616
3,1,3,1,1,1,0,1,1,0,31.084
4,2,3,1,1,1,0,1,1,0,29.758
1,2,3,1,1,1,0,1,1,0,111.536
2,2,3,1,1,1,0,1,1,0,58.754
3,2,3,1,1,1,0,1,1,0,40.088
4,3,3,1,1,1,0,1,1,0,38.886
1,3,3,1,1,1,0,1,1,0,146.086
2,3,3,1,1,1,0,1,1,0,76.59
3,3,3,1,1,1,0,1,1,0,52.128
4,1,1,1,1,1,0,1,0,1,24.4
1,1,1,1,1,1,0,1,0,1,86.582
2,1,1,1,1,1,0,1,0,1,45.972
3,1,1,1,1,1,0,1,0,1,31.0
4,2,1,1,1,1,0,1,0,1,34.32
1,2,1,1,1,1,0,1,0,1,126.692
2,2,1,1,1,1,0,1,0,1,66.91
3,2,1,1,1,1,0,1,0,1,46.412
4,3,1,1,1,1,0,1,0,1,46.582
1,3,1,1,1,1,0,1,0,1,172.548
2,3,1,1,1,1,0,1,0,1,91.208
3,3,1,1,1,1,0,1,0,1,63.514
4,1,2,1,1,1,0,1,0,1,23.39
1,1,2,1,1,1,0,1,0,1,86.594
2,1,2,1,1,1,0,1,0,1,46.092
3,1,2,1,1,1,0,1,0,1,31.134
4,2,2,1,1,1,0,1,0,1,34.1
1,2,2,1,1,1,0,1,0,1,126.804
2,2,2,1,1,1,0,1,0,1,67.058
3,2,2,1,1,1,0,1,0,1,46.482
4,3,2,1,1,1,0,1,0,1,46.55
1,3,2,1,1,1,0,1,0,1,172.592
2,3,2,1,1,1,0,1,0,1,90.858
3,3,2,1,1,1,0,1,0,1,63.334
4,1,3,1,1,1,0,1,0,1,23.056
1,1,3,1,1,1,0,1,0,1,86.89
2,1,3,1,1,1,0,1,0,1,45.83
3,1,3,1,1,1,0,1,0,1,31.054
4,2,3,1,1,1,0,1,0,1,34.324
1,2,3,1,1,1,0,1,0,1,126.988
2,2,3,1,1,1,0,1,0,1,67.028
3,2,3,1,1,1,0,1,0,1,46.426
4,3,3,1,1,1,0,1,0,1,46.498
1,3,3,1,1,1,0,1,0,1,172.592
2,3,3,1,1,1,0,1,0,1,91.022
3,3,3,1,1,1,0,1,0,1,63.534
4,1,1,1,1,1,0,1,0,0,23.666
1,1,1,1,1,1,0,1,0,0,86.362
2,1,1,1,1,1,0,1,0,0,46.912
3,1,1,1,1,1,0,1,0,0,30.86
4,2,1,1,1,1,0,1,0,0,34.218
1,2,1,1,1,1,0,1,0,0,126.312
2,2,1,1,1,1,0,1,0,0,66.642
3,2,1,1,1,1,0,1,0,0,46.24
4,3,1,1,1,1,0,1,0,0,46.374
1,3,1,1,1,1,0,1,0,0,172.22
2,3,1,1,1,1,0,1,0,0,90.854
3,3,1,1,1,1,0,1,0,0,63.74
4,1,2,1,1,1,0,1,0,0,23.01
1,1,2,1,1,1,0,1,0,0,86.332
2,1,2,1,1,1,0,1,0,0,45.708
3,1,2,1,1,1,0,1,0,0,31.128
4,2,2,1,1,1,0,1,0,0,33.97
1,2,2,1,1,1,0,1,0,0,126.148
2,2,2,1,1,1,0,1,0,0,66.678
3,2,2,1,1,1,0,1,0,0,46.608
4,3,2,1,1,1,0,1,0,0,47.642
1,3,2,1,1,1,0,1,0,0,172.216
2,3,2,1,1,1,0,1,0,0,90.75
3,3,2,1,1,1,0,1,0,0,63.314
4,1,3,1,1,1,0,1,0,0,23.244
1,1,3,1,1,1,0,1,0,0,86.272
2,1,3,1,1,1,0,1,0,0,45.726
3,1,3,1,1,1,0,1,0,0,30.756
4,2,3,1,1,1,0,1,0,0,34.102
1,2,3,1,1,1,0,1,0,0,126.404
2,2,3,1,1,1,0,1,0,0,66.554
3,2,3,1,1,1,0,1,0,0,46.408
4,3,3,1,1,1,0,1,0,0,46.53
1,3,3,1,1,1,0,1,0,0,172.2
2,3,3,1,1,1,0,1,0,0,90.766
3,3,3,1,1,1,0,1,0,0,63.748
4,1,1,1,1,1,0,0,1,1,21.97
1,1,1,1,1,1,0,0,1,1,78.394
2,1,1,1,1,1,0,0,1,1,41.85
3,1,1,1,1,1,0,0,1,1,28.656
4,2,1,1,1,1,0,0,1,1,28.068
1,2,1,1,1,1,0,0,1,1,102.82
2,2,1,1,1,1,0,0,1,1,54.416
3,2,1,1,1,1,0,0,1,1,37.18
4,3,1,1,1,1,0,0,1,1,36.92
1,3,1,1,1,1,0,0,1,1,135.302
2,3,1,1,1,1,0,0,1,1,71.382
3,3,1,1,1,1,0,0,1,1,48.838
4,1,2,1,1,1,0,0,1,1,22.452
1,1,2,1,1,1,0,0,1,1,79.098
2,1,2,1,1,1,0,0,1,1,42.4
3,1,2,1,1,1,0,0,1,1,29.254
4,2,2,1,1,1,0,0,1,1,28.67
1,2,2,1,1,1,0,0,1,1,103.448
2,2,2,1,1,1,0,0,1,1,54.998
3,2,2,1,1,1,0,0,1,1,38.006
4,3,2,1,1,1,0,0,1,1,37.614
1,3,2,1,1,1,0,0,1,1,135.914
2,3,2,1,1,1,0,0,1,1,72.078
3,3,2,1,1,1,0,0,1,1,49.426
4,1,3,1,1,1,0,0,1,1,23.162
1,1,3,1,1,1,0,0,1,1,79.862
2,1,3,1,1,1,0,0,1,1,43.192
3,1,3,1,1,1,0,0,1,1,29.8
4,2,3,1,1,1,0,0,1,1,31.002
1,2,3,1,1,1,0,0,1,1,104.53
2,2,3,1,1,1,0,0,1,1,55.59
3,2,3,1,1,1,0,0,1,1,38.446
4,3,3,1,1,1,0,0,1,1,37.948
1,3,3,1,1,1,0,0,1,1,136.322
2,3,3,1,1,1,0,0,1,1,72.318
3,3,3,1,1,1,0,0,1,1,49.866
4,1,1,1,1,1,0,0,1,0,21.698
1,1,1,1,1,1,0,0,1,0,78.566
2,1,1,1,1,1,0,0,1,0,41.828
3,1,1,1,1,1,0,0,1,0,28.674
4,2,1,1,1,1,0,0,1,0,28.338
1,2,1,1,1,1,0,0,1,0,102.812
2,2,1,1,1,1,0,0,1,0,54.626
3,2,1,1,1,1,0,0,1,0,37.578
4,3,1,1,1,1,0,0,1,0,36.996
1,3,1,1,1,1,0,0,1,0,135.598
2,3,1,1,1,1,0,0,1,0,71.512
3,3,1,1,1,1,0,0,1,0,49.008
4,1,2,1,1,1,0,0,1,0,22.854
1,1,2,1,1,1,0,0,1,0,79.318
2,1,2,1,1,1,0,0,1,0,42.708
3,1,2,1,1,1,0,0,1,0,29.288
4,2,2,1,1,1,0,0,1,0,28.834
1,2,2,1,1,1,0,0,1,0,103.938
2,2,2,1,1,1,0,0,1,0,55.212
3,2,2,1,1,1,0,0,1,0,38.194
4,3,2,1,1,1,0,0,1,0,37.616
1,3,2,1,1,1,0,0,1,0,136.276
2,3,2,1,1,1,0,0,1,0,72.158
3,3,2,1,1,1,0,0,1,0,49.85
4,1,3,1,1,1,0,0,1,0,23.35
1,1,3,1,1,1,0,0,1,0,79.768
2,1,3,1,1,1,0,0,1,0,43.522
3,1,3,1,1,1,0,0,1,0,29.918
4,2,3,1,1,1,0,0,1,0,30.254
1,2,3,1,1,1,0,0,1,0,104.204
2,2,3,1,1,1,0,0,1,0,55.888
3,2,3,1,1,1,0,0,1,0,38.602
4,3,3,1,1,1,0,0,1,0,38.178
1,3,3,1,1,1,0,0,1,0,136.814
2,3,3,1,1,1,0,0,1,0,72.436
3,3,3,1,1,1,0,0,1,0,50.466
4,1,1,1,1,1,0,0,0,1,21.65
1,1,1,1,1,1,0,0,0,1,78.57
2,1,1,1,1,1,0,0,0,1,41.828
3,1,1,1,1,1,0,0,0,1,28.562
4,2,1,1,1,1,0,0,0,1,31.152
1,2,1,1,1,1,0,0,0,1,114.69
2,2,1,1,1,1,0,0,0,1,60.804
3,2,1,1,1,1,0,0,0,1,42.32
4,3,1,1,1,1,0,0,0,1,42.476
1,3,1,1,1,1,0,0,0,1,156.172
2,3,1,1,1,1,0,0,0,1,82.656
3,3,1,1,1,1,0,0,0,1,57.664
4,1,2,1,1,1,0,0,0,1,22.476
1,1,2,1,1,1,0,0,0,1,79.066
2,1,2,1,1,1,0,0,0,1,42.434
3,1,2,1,1,1,0,0,0,1,29.312
4,2,2,1,1,1,0,0,0,1,31.92
1,2,2,1,1,1,0,0,0,1,115.346
2,2,2,1,1,1,0,0,0,1,61.51
3,2,2,1,1,1,0,0,0,1,42.758
4,3,2,1,1,1,0,0,0,1,43.208
1,3,2,1,1,1,0,0,0,1,156.664
2,3,2,1,1,1,0,0,0,1,83.222
3,3,2,1,1,1,0,0,0,1,58.122
4,1,3,1,1,1,0,0,0,1,23.204
1,1,3,1,1,1,0,0,0,1,79.554
2,1,3,1,1,1,0,0,0,1,42.72
3,1,3,1,1,1,0,0,0,1,29.688
4,2,3,1,1,1,0,0,0,1,32.95
1,2,3,1,1,1,0,0,0,1,115.692
2,2,3,1,1,1,0,0,0,1,61.618
3,2,3,1,1,1,0,0,0,1,43.238
4,3,3,1,1,1,0,0,0,1,43.672
1,3,3,1,1,1,0,0,0,1,157.128
2,3,3,1,1,1,0,0,0,1,83.53
3,3,3,1,1,1,0,0,0,1,58.62
4,1,1,1,1,1,0,0,0,0,21.678
1,1,1,1,1,1,0,0,0,0,78.416
2,1,1,1,1,1,0,0,0,0,41.818
3,1,1,1,1,1,0,0,0,0,29.01
4,2,1,1,1,1,0,0,0,0,31.516
1,2,1,1,1,1,0,0,0,0,114.682
2,2,1,1,1,1,0,0,0,0,60.89
3,2,1,1,1,1,0,0,0,0,42.55
4,3,1,1,1,1,0,0,0,0,42.882
1,3,1,1,1,1,0,0,0,0,156.346
2,3,1,1,1,1,0,0,0,0,82.598
3,3,1,1,1,1,0,0,0,0,57.912
4,1,2,1,1,1,0,0,0,0,22.626
1,1,2,1,1,1,0,0,0,0,79.18
2,1,2,1,1,1,0,0,0,0,42.406
3,1,2,1,1,1,0,0,0,0,29.544
4,2,2,1,1,1,0,0,0,0,32.114
1,2,2,1,1,1,0,0,0,0,115.52
2,2,2,1,1,1,0,0,0,0,61.57
3,2,2,1,1,1,0,0,0,0,43.184
4,3,2,1,1,1,0,0,0,0,43.484
1,3,2,1,1,1,0,0,0,0,157.06
2,3,2,1,1,1,0,0,0,0,83.402
3,3,2,1,1,1,0,0,0,0,58.384
4,1,3,1,1,1,0,0,0,0,23.244
1,1,3,1,1,1,0,0,0,0,79.97
2,1,3,1,1,1,0,0,0,0,42.906
3,1,3,1,1,1,0,0,0,0,30.26
4,2,3,1,1,1,0,0,0,0,32.72
1,2,3,1,1,1,0,0,0,0,115.71
2,2,3,1,1,1,0,0,0,0,61.912
3,2,3,1,1,1,0,0,0,0,43.608
4,3,3,1,1,1,0,0,0,0,44.024
1,3,3,1,1,1,0,0,0,0,157.672
2,3,3,1,1,1,0,0,0,0,83.648
3,3,3,1,1,1,0,0,0,0,58.846
4,1,1,1,1,0,1,1,1,1,23.416
