ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,performance
0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,63565.2
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,63553.2
0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,64348.8
0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,64671.0
0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,64257.8
0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,64870.2
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,64416.8
0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,64458.4
0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,65596.4
0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,65593.8
0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,65089.4
0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,66255.6
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,65540.6
0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,66273.6
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,57982.8
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,57931.0
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,60329.8
0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,60539.8
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,61190.8
0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,61754.0
0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,61453.0
0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,61878.0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,63904.4
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,63560.2
0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,67351.6
0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,67019.8
0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,66091.2
0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,67641.6
0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,66163.0
0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,67575.2
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,61061.8
0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,61257.4
0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,61349.4
0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,61410.6
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,66915.2
0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,67279.8
0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,66822.2
0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,67693.4
0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,62370.2
0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,62314.2
0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,68080.2
0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,68211.6
0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,63398.8
0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,68803.6
0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,62962.4
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,68984.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53380.6
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53429.4
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,56412.8
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,56442.8
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,57211.8
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,57744.6
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,57198.0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,57948.6
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,56919.4
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,56946.6
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,58146.0
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,58306.4
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,57335.0
0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,58793.2
0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,57504.4
0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,58863.4
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,56539.0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,56462.8
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,58912.4
0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,58981.2
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,59520.0
0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,60004.6
0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,59571.0
0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,59945.2
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,59983.6
0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,59908.4
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,60812.8
0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,60928.2
0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,60541.4
0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,61427.4
0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,60421.0
0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,61479.8
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,55447.4
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,55378.0
0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,57962.0
0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,58062.6
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,58753.2
0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,59362.6
0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,59096.0
0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,59457.4
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,58048.8
0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,57987.6
0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,61265.0
0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,61331.0
0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,60513.2
0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,61834.8
0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,60441.4
0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,61917.6
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,58491.8
0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,58497.2
0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,58844.6
0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,58990.8
0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,61005.6
0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,61452.8
0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,61191.6
0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,61501.4
0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,59825.0
0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,59760.8
0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,62247.0
0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,62483.0
0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,60472.2
0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,62921.2
0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,60375.4
0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,63072.6
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59106.0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,59182.2
0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,62084.0
0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,62093.6
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,62943.2
0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,63497.4
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,63004.8
0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,63585.4
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,62809.0
0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,62803.8
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,63969.6
0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,64213.0
0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,63238.6
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,64684.2
0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,63302.2
0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,64787.4
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,61194.6
0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,60961.6
0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,63615.4
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,63710.4
0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,64403.8
0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,64724.4
0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,64403.4
0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,64842.0
0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,64525.0
0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,64772.8
0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,65793.6
0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,66076.0
0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,65074.0
0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,66331.4
0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,65300.4
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,66396.2
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,61946.4
0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,62386.2
0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,64870.6
0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,64713.8
0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,65438.0
0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,65972.4
0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,65579.4
0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,66170.4
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,63649.6
0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,63631.2
0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,66968.0
0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,67086.4
0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,66233.4
0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,67852.0
0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,66216.8
0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,67760.2
0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,65338.0
0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,65461.2
0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,65708.4
0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,65776.6
0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,66988.2
0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,67319.2
0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,67005.8
0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,67411.6
0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,66675.6
0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,66693.2
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,68195.8
0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,68241.8
0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,67639.0
0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,69009.0
0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,67239.8
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,69022.2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56355.8
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,56548.0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,59896.0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,60001.8
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,60908.0
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,61274.6
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,60919.6
0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,61489.0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,60450.6
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,60664.2
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,61876.6
0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,61805.8
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,61071.0
0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,62542.4
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,61080.8
0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,62762.6
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,59751.8
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,59892.2
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,62881.6
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,62692.0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,63585.8
0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,64041.4
0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,63491.0
0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,63916.4
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,63679.8
0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,63650.0
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,65041.4
0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,65247.2
0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,64245.4
0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,65568.8
0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,64306.0
0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,65547.8
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,63091.6
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,63094.2
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,66412.0
0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,66515.4
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,67382.0
0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,67931.4
0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,67391.6
0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,68019.2
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,66172.6
0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,66357.0
0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,70180.4
0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,70520.8
0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,69469.8
0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,70854.6
0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,69250.0
0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,70977.4
0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,67350.4
0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,67254.2
0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,67651.8
0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,67694.6
0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,70356.4
0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,70541.8
0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,70146.4
0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,70662.6
0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,68396.2
0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,68746.0
0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,71405.0
0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,71435.2
0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,69477.2
0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,72219.6
0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,69391.4
0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,72296.2
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,56523.2
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,56436.8
0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,60196.0
0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,60020.2
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,60858.4
0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,61847.2
0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,60879.2
0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,61659.2
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,60778.2
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,60582.2
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,61969.4
0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,61929.6
0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,61070.2
0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,62613.8
0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,61239.6
0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,62732.8
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,63025.4
0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,63173.2
0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,66416.6
0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,66581.2
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,67352.6
0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,68018.0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,67210.0
0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,67894.2
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,67447.8
0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,67647.2
0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,68504.2
0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,68742.2
0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,68222.4
0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,69781.8
0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,68132.2
0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,69405.4
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,59994.2
0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,59974.4
0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,62849.6
0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,62940.6
0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,63698.6
0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,64332.2
0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,63806.8
0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,64634.0
0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,66307.2
0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,66285.0
0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,70211.0
0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,70205.4
0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,69371.4
0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,70841.2
0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,69387.0
0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,70981.2
0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,63562.6
0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,63555.4
0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,64071.2
0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,64223.8
0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,70151.2
